red,green,blue,lum
R=9,G=21,B=28,L=650
R=12,G=18,B=33,L=649
R=17,G=23,B=34,L=651
R=15,G=21,B=35,L=650
R=18,G=21,B=33,L=650
R=17,G=24,B=39,L=650
R=20,G=25,B=41,L=651
R=22,G=24,B=40,L=651
R=20,G=27,B=43,L=652
R=19,G=24,B=42,L=651
R=20,G=24,B=41,L=651
R=19,G=24,B=42,L=651
R=20,G=24,B=40,L=651
R=21,G=23,B=39,L=651
R=20,G=26,B=39,L=652
R=20,G=23,B=39,L=651
R=17,G=22,B=37,L=650
R=17,G=17,B=31,L=649
R=15,G=17,B=31,L=649
R=18,G=21,B=39,L=649
R=9,G=14,B=24,L=648
R=8,G=12,B=24,L=648
R=9,G=15,B=21,L=649
R=12,G=15,B=25,L=649
R=15,G=21,B=33,L=649
R=17,G=22,B=35,L=650
R=16,G=23,B=40,L=649
R=19,G=24,B=41,L=650
R=17,G=22,B=42,L=649
R=16,G=23,B=38,L=650
R=19,G=23,B=38,L=651
R=16,G=19,B=36,L=649
R=16,G=22,B=32,L=651
R=15,G=16,B=26,L=649
R=13,G=16,B=25,L=649
R=13,G=14,B=22,L=649
R=12,G=15,B=25,L=649
R=19,G=22,B=40,L=650
R=20,G=25,B=43,L=651
R=17,G=23,B=39,L=650
R=17,G=22,B=33,L=650
R=15,G=17,B=29,L=648
R=13,G=21,B=28,L=650
R=13,G=18,B=28,L=650
R=9,G=16,B=28,L=648
R=11,G=15,B=26,L=649
R=9,G=13,B=21,L=648
R=4,G=12,B=18,L=647
R=11,G=12,B=18,L=648
R=13,G=16,B=27,L=649
R=13,G=18,B=29,L=648
R=16,G=23,B=36,L=650
R=18,G=25,B=41,L=651
R=18,G=25,B=42,L=650
R=21,G=25,B=42,L=651
R=20,G=24,B=44,L=651
R=19,G=24,B=41,L=650
R=21,G=23,B=39,L=650
R=18,G=20,B=41,L=649
R=20,G=23,B=41,L=651
R=16,G=24,B=39,L=650
R=21,G=27,B=40,L=652
R=19,G=22,B=42,L=650
R=13,G=18,B=30,L=650
R=8,G=15,B=20,L=649
R=5,G=7,B=15,L=647
R=8,G=8,B=15,L=648
R=3,G=7,B=16,L=646
R=6,G=9,B=17,L=646
R=11,G=16,B=25,L=649
R=14,G=22,B=29,L=651
R=14,G=22,B=35,L=650
R=15,G=20,B=36,L=649
R=19,G=22,B=39,L=650
R=18,G=23,B=41,L=650
R=21,G=25,B=43,L=652
R=18,G=22,B=39,L=649
R=22,G=23,B=40,L=651
R=19,G=23,B=41,L=650
R=19,G=24,B=42,L=650
R=22,G=22,B=40,L=651
R=18,G=23,B=40,L=650
R=21,G=25,B=42,L=651
R=21,G=23,B=40,L=650
R=18,G=23,B=41,L=650
R=19,G=23,B=40,L=650
R=16,G=23,B=41,L=649
R=20,G=22,B=41,L=650
R=19,G=22,B=39,L=651
R=18,G=19,B=37,L=650
R=15,G=19,B=33,L=649
R=16,G=18,B=32,L=649
R=17,G=20,B=34,L=650
R=16,G=18,B=33,L=649
R=15,G=17,B=35,L=649
R=17,G=22,B=34,L=650
R=15,G=18,B=34,L=649
R=17,G=20,B=33,L=650
R=20,G=20,B=32,L=651
R=15,G=17,B=32,L=649
R=16,G=17,B=35,L=650
R=15,G=18,B=33,L=649
R=16,G=18,B=31,L=649
R=16,G=20,B=33,L=650
R=16,G=21,B=33,L=651
R=14,G=18,B=34,L=649
R=18,G=20,B=34,L=650
R=22,G=25,B=40,L=651
R=18,G=23,B=43,L=650
R=0,G=25,B=42,L=651
R=22,G=26,B=42,L=652
R=19,G=22,B=37,L=649
R=17,G=25,B=38,L=651
R=16,G=22,B=40,L=650
R=17,G=22,B=39,L=650
R=19,G=24,B=42,L=650
R=22,G=24,B=40,L=651
R=20,G=27,B=42,L=652
R=17,G=23,B=41,L=649
R=20,G=25,B=42,L=651
R=21,G=27,B=43,L=652
R=17,G=24,B=42,L=650
R=20,G=24,B=41,L=651
R=17,G=21,B=38,L=648
R=21,G=26,B=41,L=651
R=19,G=21,B=42,L=650
R=19,G=23,B=41,L=650
R=20,G=24,B=41,L=651
R=18,G=26,B=42,L=651
R=19,G=24,B=40,L=650
R=19,G=22,B=41,L=650
R=19,G=21,B=37,L=650
R=18,G=20,B=38,L=650
R=18,G=21,B=38,L=649
R=20,G=27,B=39,L=652
R=19,G=22,B=40,L=650
R=19,G=23,B=44,L=651
R=19,G=23,B=42,L=650
R=21,G=24,B=43,L=651
R=20,G=26,B=41,L=651
R=15,G=22,B=37,L=650
R=11,G=15,B=29,L=648
R=13,G=16,B=26,L=649
R=12,G=15,B=23,L=649
